Lm	-46.1	86.6
LE1	29.9	74.6
LE2	7.4	83.5
LE3	-60.2	68.8
LD2	32.4	62.4
LD5	-30.5	68.4
LC3	-4.5	59.1
LC6	-50.7	50.2
LB1	21	40.6
LB4	-24.5	46
LA2	-2.8	37.4
LA5	-40.8	31.3
LL1	45.9	32.8
LL4	11	26
LL7	-24.9	23.1
LL10	-53.1	25.5
LL13	-81	32.7
L3	30.3	14.7
L6	-5.7	12.6
L9	-41.1	12
L12	-70.8	16
Z1	52	0.4
Z4	12.8	0.1
EOG	70	50
Z10	-57.2	0.3
Z13	-87	0.6
R3	30.5	-14.4
R6	-5.7	-12.4
R9	-41.3	-11.9
R12	-71.3	-15.3
RR1	46.7	-32.5
RR4	11.2	-26
RR7	-25.1	-23.1
RR10	-53.7	-25.2
RR13	-82.1	-31.7
RA2	-2.8	-37.6
RA5	-41.3	-31.3
RB1	21.5	-40.8
RB4	-25	-46.4
RC3	-4.5	-60
RC6	-51.8	-50.4
RD2	33.6	-63.1
RD5	-31.5	-69.4
RE1	31.2	-75.7
RE2	7.9	-85.2
RE3	-62.1	-69.1
Rm	-48	-87.7
RE4	-81.1	-51.6
RD1	51.2	-46.4
RD3	12.7	-70.9
RD4	-13.5	-73.2
RD6	-52.3	-63.8
RD7	-70.6	-47.8
RC1	34.5	-46.6
RC2	16.1	-55.8
RC4	-20.3	-59.3
RC5	-36.9	-56.4
RC7	-63.6	-40.3
RB2	6.5	-46.5
RB3	-8.2	-48.7
RB5	-38.4	-41.9
RB6	-49.7	-36
RA1	12.1	-35.1
RA3	-17.4	-36.2
RA4	-29.1	-35.3
RR2	32.6	-29.9
RR3	22	-26.9
RR5	-2.1	-24.6
RR6	-14.6	-23.7
RR8	-34	-22.7
RR9	-43.4	-23.2
RR11	-62.1	-28.9
RR12	-74.1	-29.5
R1	56.7	-17.8
R2	43.2	-16.1
R4	17.7	-14.5
R5	5.7	-13.4
R7	-19.4	-11.8
R8	-30.7	-12
R10	-50.4	-13
R11	-61.2	-14
R13	-81.5	-17.5
R14	-91.6	-20.9
Z2	39.4	0.2
Z3	26.5	0.2
Z5	-0.3	0.1
Z6	-13.5	0.1
Z8	-36	0.1
Z9	-47.5	0.2
Z11	-67.9	0.3
Z12	-77.5	0.4
Z14	-95.1	0.8
L1	56.2	18.5
L2	42.9	16.5
L4	17.6	14.7
L5	5.7	13.5
L7	-19.3	11.9
L8	-30.6	12.1
L10	-50.2	13.3
L11	-60.9	14.5
L13	-81	18.5
L14	-90.9	22.2
LL2	32.1	30
LL3	21.6	27
LL5	-2.1	24.6
LL6	-14.5	23.7
LL8	-33.7	22.7
LL9	-43	23.3
LL11	-61.3	29.3
LL12	-73.2	30.1
LA1	11.8	35
LA3	-17.2	36
LA4	-28.7	35.2
LB2	6.3	46
LB3	-8.1	48.2
LB5	-37.8	41.7
LB6	-48.9	36.1
LC1	33.6	46.5
LC2	15.6	55.2
LC4	-19.8	58.5
LC5	-36	55.8
LC7	-62.5	40.6
LD1	50	46.5
LD3	12.1	69.7
LD4	-13.1	71.9
LD6	-50.9	63.3
LD7	-69.2	48.2
LE4	-79.3	52.4
REF(Z7)	70 	80
GND 	59	80
